question,description
Q1,Am indifferent to the feelings of others. 
Q2,Inquire about others' well-being. 
Q3,Know how to comfort others. 
Q4,Love children. 
Q5,Make people feel at ease. 
Q6,Am exacting in my work. 
Q7,Continue until everything is perfect. 
Q8,Do things according to a plan. 
Q9,Do things in a half-way manner. 
Q10,Waste my time. 
Q11,Don't talk a lot. 
Q12,Find it difficult to approach others. 
Q13,Know how to captivate people. 
Q14,Make friends easily. 
Q15,Take charge. 
Q16,Get angry easily. 
Q17,Get irritated easily. 
Q18,Have frequent mood swings. 
Q19,Often feel blue. 
Q20,Panic easily. 
Q21,Am full of ideas. 
Q22,Avoid difficult reading material.
Q23,Carry the conversation to a higher level. 
Q24,Spend time reflecting on things. 
Q25,Will not probe deeply into a subject. 
